productId,name,description
101,Wireless Mouse,Ergonomic wireless mouse with adjustable DPI.
102,Mechanical Keyboard,RGB mechanical keyboard with customizable keys.
103,Laptop Stand,Adjustable aluminum laptop stand for better ergonomics.
201,USB-C Charger,Fast charging USB-C adapter with multiple ports.
301,Monitor Arm,Adjustable monitor arm for dual screens.
302,Webcam,1080p webcam with built-in microphone.
303,Gaming Headset,Comfortable gaming headset with surround sound.
501,Portable SSD,High-speed portable SSD with 1TB capacity.
501,Bluetooth Speaker,High-quality sound with deep bass and Bluetooth connectivity.
502,Gaming Headset,Surround sound gaming headset with noise isolation.
503,Smart LED Bulb,Energy-efficient smart bulb with remote control.
504,Fitness Tracker,"Track your steps, heart rate, and sleep with precision."
505,Noise Cancelling Headphones,Block out ambient noise with active cancellation.
506,Portable SSD,High-speed portable solid-state drive with USB 3.2.
507,Smartphone Gimbal,Capture stable videos with this 3-axis smartphone gimbal.
508,Streaming Webcam,Full HD webcam ideal for streaming and video calls.
509,Wireless Earbuds,True wireless earbuds with long battery life.
510,4K Action Camera,Capture adventures in 4K with this waterproof action cam.
511,Smart Thermostat,Smart thermostat with voice and app control.
512,Electric Toothbrush,Electric toothbrush with multiple brushing modes.
513,Portable Projector,Compact projector for movies on-the-go.
514,Smartwatch,Advanced smartwatch with fitness tracking.
515,Wireless Charging Pad,Charge your devices wirelessly with this sleek pad.
516,USB Hub,Multi-port USB hub with fast data transfer.
517,Smart Lock,Smart lock with fingerprint and app unlock.
518,Robot Vacuum,Self-cleaning robot vacuum with smart mapping.
519,Outdoor Security Camera,HD security camera for outdoor monitoring.
520,Voice Assistant Speaker,Voice assistant speaker with smart home control.
